sr_no,HostTimestamp,NodeTimestamp,X_dps,Y (dps),Z_dps,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,move_type
1,487401,117492.0,-5.7,-28.7,-0.2,9.0,-15.0,973.0,-309.0,-418.0,-109.0,U
2,487429,117498.0,-2.6,0.2,-6.0,19.0,20.0,1019.0,-319.0,-417.0,-117.0,U
3,487491,117505.0,-19.6,-0.9,7.9,-15.0,-5.0,976.0,-318.0,-417.0,-121.0,U
4,487551,117511.0,-15.1,-17.2,21.8,-170.0,-71.0,877.0,-295.0,-423.0,-118.0,U
5,487580,117517.0,-15.4,-50.8,31.9,-123.0,-36.0,991.0,-300.0,-421.0,-112.0,U
6,487641,117523.0,-18.9,-39.3,20.9,-160.0,-112.0,870.0,-286.0,-436.0,-97.0,U
7,487701,117530.0,-25.3,-3.9,-1.4,-29.0,-125.0,875.0,-276.0,-442.0,-94.0,U
8,487729,117536.0,-26.3,-26.1,12.1,-7.0,-157.0,667.0,-270.0,-450.0,-97.0,U
9,487791,117542.0,-12.1,-21.4,0.1,48.0,-164.0,883.0,-262.0,-450.0,-81.0,U
10,487851,117548.0,2.8,-3.9,-5.0,171.0,-155.0,724.0,-268.0,-456.0,-93.0,U
11,487880,117555.0,11.5,-6.2,1.1,141.0,-149.0,839.0,-271.0,-451.0,-79.0,U
12,487941,117561.0,5.1,5.7,2.5,115.0,-150.0,825.0,-274.0,-451.0,-81.0,U
13,488001,117567.0,7.1,12.1,1.4,121.0,-124.0,839.0,-282.0,-448.0,-81.0,U
14,488029,117573.0,14.2,2.3,5.2,71.0,-116.0,948.0,-276.0,-453.0,-88.0,U
15,488091,117580.0,4.2,8.1,3.2,3.0,-114.0,950.0,-277.0,-448.0,-85.0,U
16,488151,117586.0,6.0,6.6,-0.4,88.0,-69.0,1043.0,-279.0,-444.0,-87.0,U
17,488180,117592.0,4.5,0.9,4.0,121.0,-80.0,1030.0,-276.0,-439.0,-88.0,U
18,488241,117598.0,7.5,2.4,8.3,91.0,-98.0,967.0,-276.0,-444.0,-99.0,U
19,488300,117605.0,16.6,1.0,8.0,43.0,-86.0,1034.0,-280.0,-447.0,-90.0,U
20,488329,117611.0,14.0,1.8,8.8,64.0,-74.0,1083.0,-279.0,-441.0,-90.0,U
21,488390,117617.0,10.5,4.8,7.8,40.0,-69.0,1089.0,-285.0,-447.0,-78.0,U
