sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y (dps),Z_dps,move_type
0,106249,33006,38.0,474.0,862.0,9.0,-97.0,-163.0,3.9,-1.2,4.2,W
1,106310,33012,11.0,521.0,902.0,9.0,-93.0,-162.0,1.7,5.4,2.4,W
2,106371,33018,-18.0,479.0,872.0,12.0,-97.0,-168.0,0.9,6.0,4.8,W
3,106399,33025,-43.0,491.0,884.0,6.0,-93.0,-171.0,-6.2,5.2,1.4,W
4,106461,33031,-60.0,450.0,858.0,18.0,-94.0,-165.0,-2.5,2.9,3.7,W
5,106521,33037,-77.0,498.0,890.0,12.0,-93.0,-162.0,1.6,1.2,1.5,W
6,106549,33043,-55.0,485.0,893.0,9.0,-88.0,-168.0,-0.9,-0.7,2.1,W
7,106610,33050,-59.0,476.0,882.0,12.0,-94.0,-159.0,0.0,-1.7,1.7,W
8,106670,33056,-10.0,492.0,899.0,15.0,-96.0,-160.0,-2.1,-3.7,1.5,W
9,106699,33062,13.0,467.0,878.0,9.0,-82.0,-153.0,-0.7,-2.0,1.5,W
10,106761,33068,-20.0,486.0,898.0,15.0,-90.0,-162.0,0.9,0.0,4.4,W
11,106820,33075,-50.0,475.0,892.0,21.0,-84.0,-162.0,0.9,0.0,4.4,W
12,106853,33081,-49.0,447.0,864.0,18.0,-90.0,-162.0,-0.9,-0.6,3.0,W
13,106910,33087,-40.0,497.0,900.0,18.0,-97.0,-154.0,0.0,-0.8,1.2,W
14,106970,33093,-13.0,460.0,881.0,18.0,-91.0,-159.0,-2.3,-1.9,2.4,W
15,107000,33100,-13.0,462.0,892.0,9.0,-88.0,-163.0,0.4,-0.5,1.8,W
16,107060,33106,-39.0,474.0,889.0,9.0,-88.0,-163.0,0.4,-0.5,1.8,W
17,107121,33112,-28.0,485.0,897.0,10.0,-90.0,-165.0,-0.1,-0.5,2.8,W
