sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y (dps),Z_dps,move_type
21,1403921,187278.0,-6.0,-992.0,93.0,253.0,-232.0,-297.0,7.4,-11.4,0.2,U
50,444413,67328.0,-69.0,-969.0,31.0,247.0,-213.0,-280.0,4.2,1.3,0.7,R
56,186019,79817.0,173.0,-65.0,976.0,-426.0,-403.0,-55.0,-1.8,1.7,4.3,R
22,644216,85617.0,252.0,-561.0,818.0,-13.0,-447.0,22.0,-6.0,9.4,27.5,L
30,157632,30103.0,-140.0,-68.0,998.0,-267.0,-411.0,-123.0,3.2,-6.0,-0.9,D
48,1781763,234515.0,42.0,-911.0,-255.0,343.0,-211.0,-139.0,-7.3,3.6,1.8,U
47,22395,13197.0,92.0,-44.0,992.0,-270.0,-447.0,-84.0,1.8,-1.4,5.0,U
42,1758936,224972.0,192.0,-212.0,991.0,-319.0,-441.0,-70.0,1.4,5.1,3.7,R
43,380547,55868.0,-286.0,-1085.0,400.0,148.0,-189.0,-429.0,-16.3,-32.9,11.8,S
48,591474,79027.0,200.0,-120.0,971.0,-45.0,-468.0,-46.0,-0.3,1.4,0.7,L
9,1322250,170385.0,237.0,15.0,743.0,-576.0,-139.0,-96.0,-3.7,12.1,64.2,L
51,288650,55809.0,-71.0,160.0,1013.0,99.0,-103.0,-73.0,2.2,-2.6,3.5,W
14,1904552,249865.0,-87.0,-1062.0,38.0,279.0,-195.0,-274.0,-7.2,1.1,9.1,U
3,350577,52124.0,-66.0,-1169.0,116.0,219.0,-163.0,-342.0,22.1,-34.3,35.3,S
4,522954,70459.0,116.0,62.0,1001.0,-312.0,-447.0,-40.0,-0.5,-0.9,2.1,L
37,1840413,241846.0,-83.0,-885.0,-393.0,336.0,-172.0,-48.0,1.1,1.8,0.0,U
30,1406942,180972.0,218.0,154.0,968.0,-586.0,-213.0,-40.0,1.1,0.0,1.6,L
52,2280299,296840.0,39.0,-974.0,8.0,289.0,-247.0,-301.0,-1.9,-3.9,-10.1,D
60,469792,78453.0,-151.0,35.0,988.0,133.0,-121.0,-52.0,1.0,-1.4,2.5,W
8,1021693,139496.0,-82.0,-1000.0,51.0,259.0,-187.0,-243.0,0.5,-6.7,0.7,L
14,151639,38681.0,32.0,322.0,1268.0,124.0,-168.0,-97.0,18.0,-15.4,-5.9,W
7,1197042,161415.0,8.0,-994.0,139.0,262.0,-241.0,-346.0,2.5,-3.5,-3.8,L
19,984313,134821.0,24.0,-989.0,131.0,250.0,-264.0,-354.0,3.0,-2.2,0.7,L
51,1594301,211078.0,60.0,-877.0,-227.0,333.0,-217.0,-157.0,-13.5,-3.7,-4.7,U
9,1131501,198017.0,64.0,-209.0,855.0,-262.0,-441.0,-100.0,11.0,-21.4,1.5,U
25,1101492,149471.0,54.0,-988.0,83.0,274.0,-301.0,-337.0,-6.9,-3.0,3.9,L
31,1732507,228359.0,28.0,-941.0,-295.0,345.0,-219.0,-96.0,-1.3,3.7,1.2,U
23,1404011,187290.0,-14.0,-996.0,103.0,247.0,-232.0,-303.0,4.1,-0.4,2.1,U
87,1860970,237735.0,226.0,-144.0,949.0,-318.0,-462.0,-37.0,-0.2,-3.9,1.1,R
59,655404,138492.0,77.0,-170.0,957.0,-282.0,-427.0,-102.0,-1.1,-1.4,2.9,U
39,2279670,296759.0,-68.0,-957.0,-13.0,298.0,-202.0,-264.0,5.1,-10.1,-2.9,D
35,1782546,227928.0,242.0,-170.0,981.0,-360.0,-438.0,-51.0,-0.1,0.7,4.4,R
17,1197522,161478.0,22.0,-983.0,124.0,256.0,-246.0,-346.0,-1.6,1.4,-2.2,L
29,2475387,321228.0,-79.0,-1010.0,99.0,255.0,-253.0,-379.0,-0.3,0.9,-4.8,D
21,73680,17505.0,-171.0,-1288.0,625.0,148.0,-151.0,-391.0,1.3,-100.8,42.9,S
29,637102,91415.0,3.0,-992.0,140.0,252.0,-210.0,-279.0,2.3,3.8,4.0,R
10,343941,62721.0,-173.0,139.0,1317.0,151.0,-133.0,-91.0,7.4,-24.7,-8.1,W
67,55305,63473.0,130.0,-79.0,989.0,-370.0,-418.0,-84.0,-2.4,0.0,3.9,R
14,215361,46643.0,-50.0,-385.0,836.0,210.0,-135.0,25.0,-34.7,13.4,15.0,W
